iter	Passed	Remaining
173	263157	493042
174	265104	492336
175	266617	490818
176	268042	489139
177	269196	486974
178	270646	485349
179	272138	483802
180	273429	481900
181	274947	480402
182	276457	478891
183	277821	477127
184	279565	476016
185	280926	474251
186	282493	472837
187	283986	471297
188	285295	469453
189	286874	468057
190	288540	466800
191	290119	465399
192	291868	464267
193	293415	462809
194	295015	461434
195	296682	460160
196	297913	458212
197	299294	456499
198	300454	454456
199	301669	452504
200	303212	451047
201	304722	449540
202	306107	447851
203	307685	446445
204	309117	444828
205	310547	443208
206	312216	441930
207	313759	440469
208	315316	439029
209	316823	437518
210	318379	436074
211	319630	434215
212	321311	432940
213	322778	431377
214	324110	429635
215	325678	428207
216	327425	427011
217	329043	425643
218	330558	424140
219	331934	422462
220	333071	420484
221	334495	418872
222	336218	417634
223	337552	415912
224	338932	414250
225	340551	412880
226	341811	411077
227	343360	409623
228	344948	408214
229	346555	406826
230	347923	405158
231	349367	403579
232	351129	402367
233	352993	401266
234	354792	400085
235	356551	398853
236	358071	397353
237	359620	395884
238	361298	394555
239	363129	393389
240	364618	391851
241	366239	390454
242	367898	389094
243	369484	387656
244	371027	386171
245	372721	384842
246	374170	383259
247	375697	381756
248	376885	379912
249	378330	378330
250	379888	376861
251	381508	375453
252	382914	373833
253	384514	372403
254	386095	370954
255	387583	369415
256	389286	368080
257	390704	366474
258	392406	365135
259	394076	363762
260	395547	362206
261	397057	360685
262	398718	359301
263	400213	357766
264	401761	356278
265	403045	354558
266	404664	353133
267	406292	351716
268	407735	350137
269	409154	348539
270	410354	346757
271	411898	345267
272	413312	343669
273	414805	342138
274	416452	340733
275	418205	339412
276	419813	337972
277	421241	336387
278	422858	334952
279	424380	333442
280	425938	331959
281	427361	330371
282	428882	328860
283	430389	327338
284	431936	325846
285	441495	330349
286	443074	328832
287	444605	327279
288	445935	325579
289	447342	323937
290	448917	322418
291	450510	320911
292	452064	319376
293	453512	317767
294	455188	316317
295	456776	314805
296	458524	313402
297	460073	311862
298	461791	310434
299	463390	308927
300	464927	307377
301	466635	305939
302	467989	304270
303	469435	302662
304	470767	300982
305	472286	299423
306	473758	297835
307	475229	296246
308	476852	294753
309	478342	293177
310	479765	291561
311	481230	289972
312	482885	288496
313	484401	286938
314	485966	285409
315	487353	283775
316	488982	282283
317	490669	280823
318	492103	279218
319	493653	277679
320	495110	276089
321	496700	274573
322	497970	272881
323	499818	271506
324	501425	269998
325	502821	268377
326	504098	266694
327	505762	265217
328	507004	263519
329	508763	262090
330	510079	260433
331	511749	258957
332	513354	257448
333	514759	255838
334	516031	254164
335	517712	252693
336	519292	251170
337	520743	249587
338	522410	248106
339	523791	246490
340	525311	244939
341	526862	243404
342	528318	241824
343	529599	240167
344	530976	238554
345	532300	236919
346	534111	235501
347	535527	233908
348	537315	232477
349	538445	230762
350	540040	229247
351	541503	227677
352	543108	226167
353	544785	224685
354	546461	223202
355	548107	221706
356	549676	220178
357	551325	218682
358	552120	216849
359	553715	215333
360	555162	213760
361	556823	212269
362	558295	210706
363	559874	209183
364	561489	207674
365	562941	206104
366	564341	204516
367	565789	202946
368	567325	201408
369	568756	199833
370	570202	198264
371	571653	196698
372	572958	195082
373	574385	193509
374	576048	192016
375	577733	190529
376	579345	189017
377	580703	187422
378	582219	185880
379	583858	184376
380	585367	182831
381	586937	181305
382	588414	179750
383	589845	178182
384	591533	176691
385	593151	175179
386	594753	173661
387	596330	172136
388	597787	170576
389	599201	169005
390	600910	167517
391	602342	165951
392	603889	164417
393	605286	162843
394	606937	161337
395	608307	159757
396	609932	158244
397	611355	156678
398	612749	155107
399	614221	153555
400	615848	152042
401	617500	150534
402	619039	148999
403	620677	147487
404	622000	145901
405	623598	144379
406	625046	142823
407	626657	141305
408	627631	139644
409	629188	138114
410	630683	136571
411	632001	134990
412	633293	133405
413	634719	131849
414	636292	130324
415	637510	128728
416	638746	127136
417	640210	125591
418	641687	124049
419	643109	122497
420	644728	120982
421	646088	119419
422	647424	117852
423	648939	116319
424	650310	114760
425	651882	113237
426	653499	111722
427	654776	110149
428	656043	108576
429	657488	107033
430	658827	105473
431	660461	103961
432	661876	102415
433	663398	100885
434	664754	99331
435	666412	97822
436	667917	96290
437	669773	94808
438	671365	93287
439	673083	91784
440	674771	90275
441	676403	88758
442	677901	87224
443	679234	85669
444	680630	84122
445	682140	82590
446	683696	81064
447	685225	79535
448	686763	78006
449	688023	76447
450	689495	74911
451	691275	73409
452	692830	71883
453	694411	70358
454	695984	68833
455	697576	67310
456	699043	65774
457	700529	64240
458	701971	62703
459	703624	61184
460	704555	59604
461	706237	58088
462	707899	56570
463	709527	55049
464	710935	53511
465	712299	51970
466	713768	50437
467	715459	48920
468	717067	47396
469	718691	45873
470	720325	44351
471	721735	42814
472	723391	41292
473	725145	39775
474	726407	38231
475	727769	36694
476	729554	35177
477	730978	33643
478	732770	32125
479	734193	30591
480	735704	29061
481	737229	27531
482	738786	26002
483	740251	24471
484	741795	22942
485	743222	21409
486	744773	19881
487	746359	18353
488	748100	16828
489	749694	15299
490	751176	13769
491	753264	12248
492	754961	10719
493	756680	9190
494	758289	7659
495	759822	6127
496	761252	4595
497	762734	3063
498	762734	3063
499	764414	0
